Smiles	Name
CC(C)CC(C)O	108-11-2Hansen_nonmutagen
COC(C)CCO	2517-43-3Hansen_nonmutagen
NC(CO)C(=O)O	302-84-1Hansen_nonmutagen
FC(Cl)C(F)(F)F	2837-89-0Hansen_nonmutagen
O=C(O)C(Cl)CCl	565-64-0Hansen_nonmutagen
CC(Br)(CO)CBr	57409-54-8Hansen_nonmutagen
CC(Br)(CCl)CBr	10474-14-3Hansen_nonmutagen
ClCCC(Br)CBr	108963-23-1Hansen_nonmutagen
C1=CC2OC2C=CO1	52748-31-9Hansen_nonmutagen
Oc1ccc(O)nn1	123-33-1Hansen_nonmutagen
NC1CCCC(N)C1	3385-21-5Hansen_nonmutagen
O=C1C(O)C(O)C1=O	2892-51-5Hansen_nonmutagen
CC(C)C(N)C(=O)O	516-06-3Hansen_nonmutagen
CC(O)C(C)[N+](=O)[O-]	85060-01-1Hansen_nonmutagen
OCC(O)C(O)CO	149-32-6Hansen_nonmutagen
CSCC(N)C(=O)O	1187-84-4Hansen_nonmutagen
CC(C)OP(=O)(C)F	107-44-8Hansen_nonmutagen
CC(C)(Br)C(Br)CCl	111712-51-7Hansen_nonmutagen
C=CC1CC2C=CC1C2	3048-64-4Hansen_nonmutagen
C=CCCC(C=O)CC	26266-68-2Hansen_nonmutagen
C1CCCC2OC2CC1	286-62-4Hansen_nonmutagen
CCCCCCC1CO1	2984-50-1Hansen_nonmutagen
O=C(O)C1OC1C(=O)O	16533-72-5Hansen_nonmutagen
CC(=O)OCN=[N+](C)[O-]	592-62-1Hansen_nonmutagen
CCN=NC(C)(C)OO	149127-57-1Hansen_nonmutagen
NC(CC(=O)O)C(=O)O	5598-53-8Hansen_nonmutagen
O=C(O)CC(O)C(=O)O	676-46-0Hansen_nonmutagen
CC(Cl)c1ccccc1	38661-82-4Hansen_nonmutagen
O=C1CC2SCC=CN12	74006-72-7Hansen_nonmutagen
CSCCC(N)C(=O)O	59-51-8Hansen_nonmutagen
FC(F)C(F)C(F)(F)F	431-63-0Hansen_nonmutagen
CC(Br)c1ccccc1	585-71-7Hansen_nonmutagen
Cc1cccc2[nH]nnc12	29385-43-1Hansen_nonmutagen
CC(N)Cc1ccccc1	60-13-9Hansen_nonmutagen
C=C1CCC2CC1C2(C)C	18172-67-3Hansen_nonmutagen
N1=NC2C3OC3C1C1OC21	55022-75-8Hansen_nonmutagen
CC1CCC2CC1C2(C)C	473-55-2Hansen_nonmutagen
C1CC2OC2CCC2OC12	286-75-9Hansen_nonmutagen
COC(C)CCOC(=O)C	4435-53-4Hansen_nonmutagen
CCOP(=O)(C#N)N(C)C	77-81-6Hansen_nonmutagen
O=NN1CSCC1C(=O)O	88381-44-6Hansen_nonmutagen
CCOC(=O)C(Cl)C(=O)C	609-15-4Hansen_nonmutagen
O=P(O)(O)OCC(O)CO	1319-69-3Hansen_nonmutagen
C[S+]([O-])c1ccc(Cl)cc1	934-73-6Hansen_nonmutagen
COP(=O)(NC(=O)C)SC	30560-19-1Hansen_nonmutagen
FC(F)OC(Cl)C(F)(F)F	26675-46-7Hansen_nonmutagen
FC(F)OC(F)(F)C(F)Cl	13838-16-9Hansen_nonmutagen
FC(Cl)C(F)(F)C(F)(F)Cl	507-55-1Hansen_nonmutagen
CC(Br)C(=O)NC(C)(C)C	142713-66-4Hansen_nonmutagen
c1cnc2c(c1)C1OC1CC2	130536-45-7Hansen_nonmutagen
OC1CC=Cc2cccnc12	142044-41-5Hansen_nonmutagen
CCC1OC1c1ccccc1	69140-51-8Hansen_nonmutagen
CC(c1ccccc1)N(C)C	2449-49-2Hansen_nonmutagen
C1=C2CCCC(=CC3OC13)O2	67902-33-4Hansen_nonmutagen
C=C(C)C1CC=C(C=O)CC1	18031-40-8Hansen_nonmutagen
Cc1coc2c1CCC(C)C2	494-90-6Hansen_nonmutagen
Cc1cccc(C)c1[N+](=O)[O-]	81-20-9Hansen_nonmutagen
CC1(C)C2CCC3(CO3)C1C2	6931-54-0Hansen_nonmutagen
C=C(C)C1CCC2(C)OC2C1	1195-92-2Hansen_nonmutagen
CC1(C)C2CC3OC3(C)C1C2	1686-14-2Hansen_nonmutagen
CC1=CC(O)C2CC1C2(C)C	1845-30-3Hansen_nonmutagen
CC(=CCC1CCCC1=O)C	2520-60-7Hansen_nonmutagen
CC=CC1OC(=O)C=CC1O	28921-94-0Hansen_nonmutagen
CC(=CCCC(C)CC=O)C	106-23-0Hansen_nonmutagen
CC1=CCC(C(C)(C)O)CC1	98-55-5Hansen_nonmutagen
CC1(C)C2CCC1(C)C(O)C2	507-70-0Hansen_nonmutagen
CCCCCC(O)C=CC=O	128946-65-6Hansen_nonmutagen
CC(=CCCC(C)CCO)C	106-22-9Hansen_nonmutagen
CC(O)CN1CC(C)OC1=O	3375-84-6Hansen_nonmutagen
CS(=N)(=O)CCC(N)C(=O)O	1982-67-8Hansen_nonmutagen
O=[N+]([O-])c1cccc(Cl)c1Cl	3209-22-1Hansen_nonmutagen
NC(CSCC=CCl)C(=O)O	107817-59-4Hansen_nonmutagen
CC(OP(=O)(C)Cl)C(C)(C)C	7040-57-5Hansen_nonmutagen
CCC(Cl)CC(Cl)CC(C)Cl	9002-86-2Hansen_nonmutagen
c1cnc2c(c1)C1OC1C1OC21	142184-78-9Hansen_nonmutagen
[O-][n+]1cccc2c1C1OC1C=C2	142044-39-1Hansen_nonmutagen
[O-][n+]1cccc2c1C=CC1OC21	142044-38-0Hansen_nonmutagen
OC1C=Cc2ncccc2C1O	130536-38-8Hansen_nonmutagen
CC(C)(C#N)N=NC(C)(C)C#N	78-67-1Hansen_nonmutagen
NC(Cc1ccccc1)C(=O)O	150-30-1Hansen_nonmutagen
CC12CCC(C(=O)C1=O)C2(C)C	10373-78-1Hansen_nonmutagen
C1CCC2CC3(CCC2C1)CO3	7125-53-3Hansen_nonmutagen
CC(=CC1C(C(=O)O)C1(C)C)C	10453-89-1Hansen_nonmutagen
CC1(O)CC2CCC1(C)C2(C)C	2371-42-8Hansen_nonmutagen
CC(C)(C)C1CCC2(CC1)CO2	2815-45-4Hansen_nonmutagen
CC(C)CC1NC(=O)CNC1=O	5845-67-0Hansen_nonmutagen
CC1(C)CC(N)CC(C)(CN)C1	2855-13-2Hansen_nonmutagen
CCNC(=O)CCC(N)C(=O)O	3081-61-6Hansen_nonmutagen
O=CC(O)C(O)C(O)C(O)CO	50-99-7Hansen_nonmutagen
CCCCSCCC(N)C(=O)O	3343-64-4Hansen_nonmutagen
ClC1C(Br)C(Br)C(Br)C(Br)C1Br	87-84-3Hansen_nonmutagen
CN1C(=O)CCC1c1cccnc1	486-56-6Hansen_nonmutagen
C1=CCCC2OC2CCC=CCC1	943-93-1Hansen_nonmutagen
OC1c2cccnc2C2OC2C1O	142078-76-0Hansen_nonmutagen
NC(Cc1ccc(O)cc1)C(=O)O	55520-40-6Hansen_nonmutagen
CC1CCCC2(C)CCCCC12O	16423-19-1Hansen_nonmutagen
C1CCCCCC2OC2CCCC1	286-99-7Hansen_nonmutagen
CNCC(O)c1ccc(O)c(O)c1	51-43-4Hansen_nonmutagen
CCCCCCCC1CCC(=O)O1	104-67-6Hansen_nonmutagen
COC(=O)C1=C(C)C(C)(O)OC1=O	60971-98-4Hansen_nonmutagen
CC1(C)CC(C(=O)N)C(C)(C)N1O	4399-80-8Hansen_nonmutagen
O=C(O)C(O)C(O)C(O)C(O)CO	299-28-5Hansen_nonmutagen
CC(C)(S)C(=O)NC(CS)C(=O)O	65002-17-7Hansen_nonmutagen
COC(=O)C1OC(=NO)C(=C1Cl)Cl	162050-11-5Hansen_nonmutagen
CCOP(=S)(OCC(C)C)SCCl	70140-81-7Hansen_nonmutagen
c1ccc2c(c1)CCC1CCCCC21	20480-67-5Hansen_nonmutagen
C[N+]1([O-])CC=C(c2ccccc2)CC1	95969-40-7Hansen_nonmutagen
CN1C(=O)C(O)CC1c1cccnc1	34834-67-8Hansen_nonmutagen
CN1C(=O)CCC1c1ccc[n+]([O-])c1	36508-80-2Hansen_nonmutagen
CN(C)N=Nc1ccc(C(=O)O)cc1	70055-49-1Hansen_nonmutagen
CC(O)CC(=O)Nc1ccc(O)cc1	19213-09-3Hansen_nonmutagen
CCOC(=O)C1C(C=C(C)C)C1(C)C	97-41-6Hansen_nonmutagen
CCC(C)C1NC(=O)C(=C1O)C(=O)C	610-88-8Hansen_nonmutagen
O=c1[nH]c(=O)n(C2CCCO2)cc1F	17902-23-7Hansen_nonmutagen
CC(C)(CO)C(O)C(=O)NCCCO	81-13-0Hansen_nonmutagen
CCC(C)Nc1snc2ccccc12	2589-58-4Hansen_nonmutagen
O=c1c2ccccc2sn1CC1CO1	90421-84-4Hansen_nonmutagen
Nc1nc2c(s1)CCC1NCCCC21	153260-24-3Hansen_nonmutagen
COC(=O)C(N)Cc1ccc(Cl)cc1	23434-96-0Hansen_nonmutagen
CC(Oc1ccc(Cl)cc1Cl)C(=O)O	120-36-5Hansen_nonmutagen
CC(Br)C(=O)N(C)Cc1ccccc1	100129-07-5Hansen_nonmutagen
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O	314-40-9Hansen_nonmutagen
c1cnc2c3c(ccc2c1)C1OC1CC3	113163-23-8Hansen_nonmutagen
c1ccc2c(c1)C1CCCCC1C1OC21	28352-32-1Hansen_nonmutagen
c1ccc2c(c1)CCC1CCCC3OC213	121958-18-7Hansen_nonmutagen
CC(CC=O)c1ccc(C(C)(C)C)cc1	80-54-6Hansen_nonmutagen
N=C(N)N=C(N)NCCc1ccccc1	834-28-6Hansen_nonmutagen
CC(C)Cc1ccc(C(C)C(=O)O)cc1	15687-27-1Hansen_nonmutagen
CCC(=O)C=CC1C(=CCCC1(C)C)C	7779-30-8Hansen_nonmutagen
CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C	33704-61-9Hansen_nonmutagen
Nc1ccccc1C(=O)CC(N)C(=O)O	2922-83-0Hansen_nonmutagen
C#CCOCCN1C=CN(C)C1C=NO	128669-18-1Hansen_nonmutagen
OCC12OOC1(CO)c1ccccc1O2	128753-94-6Hansen_nonmutagen
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O	41372-08-1Hansen_nonmutagen
CC(O)Cc1cc(N)cc([N+](=O)[O-])c1N	104535-31-1Hansen_nonmutagen
CC(C)NCC(O)c1ccc(O)c(O)c1	51-30-9Hansen_nonmutagen
CN(C)CCCN1C=CN(C)C1C=NO	131206-89-8Hansen_nonmutagen
CCC1(C(C)O)OC1(C(=O)N)C(=O)OC	142438-72-0Hansen_nonmutagen
CC(C)(CO)C(O)C(=O)NCCC(=O)O	137-08-6Hansen_nonmutagen
CN1C=CN(CCS(=O)(=O)C)C1C=NO	131431-60-2Hansen_nonmutagen
CSCC(NC(=O)C(C)(C)SC)C(=O)O	74407-28-6Hansen_nonmutagen
Brc1ccc2c(c1)C=CC1CCCCC21	118326-90-2Hansen_nonmutagen
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O	93-72-1Hansen_nonmutagen
CC(C)(C)C(Br)C(=O)Nc1ccccc1	5344-87-6Hansen_nonmutagen
c1ccc2c(c1)C1OOC2c2ccccc12	4741-24-6Hansen_nonmutagen
OC1C=Cc2ccc3ncccc3c2C1O	119143-41-8Hansen_nonmutagen
CC12OC1C1CCCCC1c1ccccc21	121625-60-3Hansen_nonmutagen
O=C(O)C1Cc2c([nH]c3ccccc23)CN1	6052-68-2Hansen_nonmutagen
Nc1c(O)cccc1C(=O)CC(N)C(=O)O	484-78-6Hansen_nonmutagen
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1	951-78-0Hansen_nonmutagen
CCCCOB(OCCCC)OCCCC	688-74-4Hansen_nonmutagen
NC(CCCCNCC(N)C(=O)O)C(=O)O	18810-04-3Hansen_nonmutagen
C[N+](=NCC1OC(CO)C(O)C(O)C1O)[O-]	14901-08-7Hansen_nonmutagen
O=C1CCC(C(=O)N2CSCC2C(=O)O)N1	121808-62-6Hansen_nonmutagen
O=C(O)CCCCC1SCC2NC(=O)NC12	58-85-5Hansen_nonmutagen
CC(O)C(O)C(O)C(O)C1SCCN1N=O	92134-95-7Hansen_nonmutagen
CCOP(=O)(C)SCCN(C(C)C)C(C)C	50782-69-9Hansen_nonmutagen
NC(CSC(F)(F)C(F)(F)C(F)F)C(=O)O	98640-41-6Hansen_nonmutagen
Brc1ccc2c(c1)C1OC1C1CCCCC21	118354-49-7Hansen_nonmutagen
OC(Nc1snc2ccccc12)C(Cl)(Cl)Cl	60905-56-8Hansen_nonmutagen
COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl	74940-61-7Hansen_nonmutagen
CC12OOC1(C)c1c(ccc3ccccc13)O2	129812-29-9Hansen_nonmutagen
CC(=O)C1(C)OC21C(=O)C=Cc1ccccc21	129833-03-0Hansen_nonmutagen
CC(=O)C1(C)OC21C=Cc1ccccc1C2=O	129833-02-9Hansen_nonmutagen
CC12OOC1(C)c1ccc3cccnc3c1O2	129812-30-2Hansen_nonmutagen
OC1c2c(ccc3ncccc23)C2OC2C1O	119239-65-5Hansen_nonmutagen
CC(C)NCC(O)c1ccc2ccccc2c1	51-02-5Hansen_nonmutagen
COc1ccc2cc(C(C)C(=O)O)ccc2c1	22204-53-1Hansen_nonmutagen
COc1ccc2c(c1)C1CCCCC1C1OC21	118354-50-0Hansen_nonmutagen
COC(=O)C1=C(c2ccccc2)C(C)OC1=O	69231-25-0Hansen_nonmutagen
CC1C=C(C=O)C(=CC2CC(C)(C)CC12)C=O	50656-61-6Hansen_nonmutagen
NC(=O)C12OC1C(O)(c1ccccc1)NC2=O	142438-61-7Hansen_nonmutagen
CC1(C)CCCC2(C)C(C=O)C(=CCC12)C=O	5956-39-8Hansen_nonmutagen
CC=Cc1cc2c(c(=O)o1)C(=O)C(O)C(C)O2	10088-95-6Hansen_nonmutagen
CC=C(C)C(=O)OC1CCN2CC=C(CO)C12	6029-82-9Hansen_nonmutagen
CCOc1ccccc1OCC1CNCCO1	46817-91-8Hansen_nonmutagen
CCCCN(CC(O)c1ccc(O)cc1)N=O	78658-61-4Hansen_nonmutagen
Nc1ccn(C2C=C(CO)C(O)C2O)c(=O)n1	90597-22-1Hansen_nonmutagen
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O	88-85-7Hansen_nonmutagen
Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1O	52278-77-0Hansen_nonmutagen
CC(C(=O)O)c1ccc(Oc2nccs2)cc1	56355-17-0Hansen_nonmutagen
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br	59-14-3Hansen_nonmutagen
ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl	51775-36-1Hansen_nonmutagen
ClCC1C(CCl)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl	2550-75-6Hansen_nonmutagen
CC1C=Cc2ccc3ccc4ccccc4c3c12	183249-38-9Hansen_nonmutagen
OC1c2cccc3ccc4cccc(c4c23)C1O	56183-12-1Hansen_nonmutagen
CC1(c2ccccc2)C(=O)c2ccccc2N1O	57309-27-0Hansen_nonmutagen
CNc1ccc(N=Nc2ccc(NC)cc2)cc1	34049-50-8Hansen_nonmutagen
CCc1cccc2c3c([nH]c12)C(C)(CC)OCC3	115066-03-0Hansen_nonmutagen
[O-][n+]1cccc2c3c(ccc12)C(O)C(O)C1OC31	119239-64-4Hansen_nonmutagen
O=C(O)C1Cc2c([nH]c3ccccc23)C(CO)N1	73198-02-4Hansen_nonmutagen
C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C21C	509-93-3Hansen_nonmutagen
Nc1nc(O)c2ncn(C3C=CC(CO)C3)c2n1	118353-05-2Hansen_nonmutagen
CC1CN(N=O)CC(C)N1C(=O)c1ccccc1	61034-40-0Hansen_nonmutagen
C=C1C(=O)OC2CC3(C)C(CCC(=O)C)C3CC12	1748-81-8Hansen_nonmutagen
CC(C)NCC(O)COc1cccc2[nH]ccc12	13523-86-9Hansen_nonmutagen
C=CCc1ccccc1OCC(O)CNC(C)C	13707-88-5Hansen_nonmutagen
CC1=C2C(=COC(C)C2C)C(=C(C(=O)O)C1=O)O	518-75-2Hansen_nonmutagen
CC1C=C(C=O)C(C=O)C(O)C2CC(C)(C)CC12	100288-36-6Hansen_nonmutagen
CC(CC1=C(C=O)COC1O)C1=CCC(C)(C)C1	93943-58-9Hansen_nonmutagen
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1	958-09-8Hansen_nonmutagen
CC(=O)OC1C(=O)OC2C(OC(=O)C)C(=O)OC12	642-83-1Hansen_nonmutagen
Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O	39638-73-8Hansen_nonmutagen
O=NN(CC(=O)O)CC1(O)CCC(O)C(O)C1O	86334-95-4Hansen_nonmutagen
CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1	3930-20-9Hansen_nonmutagen
CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O	50648-96-9Hansen_nonmutagen
CC(=O)NC(CSC(=C(F)C(F)(F)F)F)C(=O)O	98640-42-7Hansen_nonmutagen
CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1	115-90-2Hansen_nonmutagen
CCN(CC)C(=S)SSCC(NC(=O)C)C(=O)O	128505-52-2Hansen_nonmutagen
Clc1ccc(N=Nc2ccc(Cl)c(Cl)c2)cc1Cl	14047-09-7Hansen_nonmutagen
NC(CSc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(=O)O	75005-80-0Hansen_nonmutagen
CC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl	142534-71-2Hansen_nonmutagen
CCN(CC)c1ccc(N=Nc2ccccc2)cc1	2481-94-9Hansen_nonmutagen
CC(=O)OC(C(=O)c1ccccc1)c1ccccc1	574-06-1Hansen_nonmutagen
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	22071-15-4Hansen_nonmutagen
CCOC(=O)Nc1cccc2c3c[nH]ccc3nc12	79642-33-4Hansen_nonmutagen
O=[N+]([O-])c1c2c(cc3ccccc13)C=CC(O)C2O	97509-29-0Hansen_nonmutagen
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	50-35-1Hansen_nonmutagen
CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C	1222-05-5Hansen_nonmutagen
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C	21145-77-7Hansen_nonmutagen
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C	68140-48-7Hansen_nonmutagen
O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2O)cc1	6428-94-0Hansen_nonmutagen
CC(=O)NCC(O)COc1cccc2ccccc12	187537-22-0Hansen_nonmutagen
C=CCOc1ccccc1OCC(O)CNC(C)C	6452-71-7Hansen_nonmutagen
CC(C)NCC(O)COc1ccc(CC(=O)N)cc1	29122-68-7Hansen_nonmutagen
NC(CCC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O	7300-59-6Hansen_nonmutagen
Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1	106449-56-3Hansen_nonmutagen
CC(C)(C)NCC(O)c1ccc(O)c(NC(=O)N)c1	34866-46-1Hansen_nonmutagen
COCCc1ccc(OCC(O)CNC(C)C)cc1	37350-58-6Hansen_nonmutagen
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1	21416-67-1Hansen_nonmutagen
O=C(O)c1ccc(NC2OCC(O)C(O)C2O)cc1	10396-68-6Hansen_nonmutagen
Cc1ccc(NCC2(O)OCC(O)C(O)C2O)cc1	90866-04-9Hansen_nonmutagen
O=[N+]([O-])c1ccc(NC2OCC(O)C(O)C2O)cc1	10396-63-1Hansen_nonmutagen
CN1C=CN(COCCC(C)(C)[N+](=O)[O-])C1C=NO	128233-25-0Hansen_nonmutagen
CCC(CCOCN1C=CN(C)C1C=NO)[N+](=O)[O-]	129251-09-8Hansen_nonmutagen
CCC(CCC(=O)C)COC(=O)CCCCC(=O)O	134998-72-4Hansen_nonmutagen
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21	53716-49-7Hansen_nonmutagen
CCC(CCC(C)O)COC(=O)CCCCC(=O)O	134998-71-3Hansen_nonmutagen
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	113-92-8Hansen_nonmutagen
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N	71807-56-2Hansen_nonmutagen
CC(C(=O)O)N(CC1(O)CCC(O)C(O)C1O)N=O	86334-96-5Hansen_nonmutagen
CC(O)C1C(=O)N2C(=C(C3CCCO3)SC12)C(=O)O	122547-49-3Hansen_nonmutagen
Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl	90301-75-0Hansen_nonmutagen
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr	69304-47-8Hansen_nonmutagen
[O-][N+](=Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1	21232-47-3Hansen_nonmutagen
O=S1OCC2C(CO1)C1(Cl)C(=C(Cl)C2(Cl)C1(Cl)Cl)Cl	NOCAS_M526Hansen_nonmutagen
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl	154159-06-5Hansen_nonmutagen
ClCC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl	66860-80-8Hansen_nonmutagen
OC1c2ccccc2c2ccc3ccccc3c2C1O	56183-24-5Hansen_nonmutagen
Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1	6756-41-8Hansen_nonmutagen
CCC1=C(c2ccc(O)cc2)C(C)c2cc(O)ccc12	115217-02-2Hansen_nonmutagen
CCC1C(=C(C)c2cc(O)ccc12)c1ccc(O)cc1	133830-97-4Hansen_nonmutagen
O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1	2784-27-2Hansen_nonmutagen
CC(NCc1ccccc1)C(=O)NCc1ccccc1	142713-67-5Hansen_nonmutagen
CN(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1	6257-64-3Hansen_nonmutagen
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O	10161-33-8Hansen_nonmutagen
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c12	67604-48-2Hansen_nonmutagen
O=C1Cc2cc3ccc([N+](=O)[O-])cc3cc2C(O)C1O	109910-98-7Hansen_nonmutagen
OCC1OC(n2cnc3c2ncn2ccnc32)CC1O	68498-25-9Hansen_nonmutagen
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C	57-47-6Hansen_nonmutagen
CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1	134-09-8Hansen_nonmutagen
CCCCC(CC)COC(=O)c1ccc(C(=O)O)cc1	155603-50-2Hansen_nonmutagen
CC(=O)c1cc(N)ccc1OCC(O)CNC(C)(C)C	56980-94-0Hansen_nonmutagen
CC(C)NCC(O)COc1cccc2c1OCC(O)C2	86247-86-1Hansen_nonmutagen
