Clc(cc1)cc(CCc2c3nccc2)c1C3=C1CCNCC1	binder2580-ACTIVE
CCOCCn1c(cccc2)c2nc1C1CCN(CCc2ccc(C(C)(C)C(O)=O)cc2)CC1	binder2727-ACTIVE
CN(CC1)CCN1C(C1)c(cc(cc2)SC)c2Sc2c1cccc2	binder2728-ACTIVE
O=C1N(C2CCN(CCCC(c(cc3)ccc3F)c(cc3)ccc3F)CC2)c(cccc2)c2N1	binder2729-ACTIVE
N#CC1(CCCCC1)N=NC1(CCCCC1)C#N	binder2731-ACTIVE
CCOP(c1ccccc1)(Oc(cc1)ccc1[N+]([O-])=O)=S	binder2732-ACTIVE
CC(CC(C)(C)c1c2)C(C)(C)c1cc(C)c2C(C)=O	binder2733-ACTIVE
CCCCCCOC(/N=C(\c(cc1)ccc1NCc1nc(cc(cc2)C(N(CCC(OCC)=O)c3ncccc3)=O)c2n1C)/N)=O	binder2734-ACTIVE
Cc1ncc(CCn2c(ccc(Cl)c3)c3c3c2CCN(C)C3)cc1	binder2735-ACTIVE
CCCOc(ccc(S(N1CCN(CC)CC1)(=O)=O)c1)c1C(N1)=Nc2c(CC)n(Cc3ncccc3)nc2C1=O	binder2736-ACTIVE
CCOP(OCC)(SCN(c(ccc(Cl)c1)c1O1)C1=O)=S	binder2738-ACTIVE
CC(C(c(cc1)ccc1O)O)N1CCC(Cc2ccccc2)CC1	binder2740-ACTIVE
Clc1c(C(c2ccccc2)(c2ccccc2)n2cncc2)cccc1	binder2741-ACTIVE
CCOC(c1c(N)sc2c1CCN(Cc1ccccc1)C2)=O	binder2742-ACTIVE
Cc(cc1)cc(-n2nc(cccc3)c3n2)c1O	binder2743-ACTIVE
O=C(N=NC(OCc1ccccc1)=O)OCc1ccccc1	binder2744-ACTIVE
CCCCCCCCCCCCCN1CC(C)OC(C)C1	binder2746-ACTIVE
O=C1Oc(cc(cc2)S(CCN3CCC(Cc(cc4)ccc4F)CC3)=O)c2N1	binder2747-ACTIVE
N=C(NN=Cc(cc1)ccc1Cl)NN=Cc(cc1)ccc1Cl	binder2749-ACTIVE
NNc1nc(-c(cc2)ccc2[N+]([O-])=O)cs1	binder2751-ACTIVE
CN(C)C(NC1(CCN(CCCC(CCC2)(CN2C(c2ccccc2)=O)c(cc2)cc(Cl)c2Cl)CC1)c1ccccc1)=O	binder2754-ACTIVE
CCCCCCCCN1SC=CC1=O	binder2756-ACTIVE
OC1(CCN(CCCC(c(cc2)ccc2F)c(cc2)ccc2F)CC1)c(cc1)cc(C(F)(F)F)c1Cl	binder2758-ACTIVE
Fc1ccc(C(c(cc2)ccc2F)N2CCNCC2)cc1	binder2759-ACTIVE
Cn1c2cccc(C3(C(C4)N(C)CC(COC(c5cc(Br)cnc5)=O)C3)OC)c2c4c1	binder2760-ACTIVE
CC(C)(C1C=C(C)C)C1C(OC(C1)C(C)=C(CC=C)C1=O)=O	binder2761-ACTIVE
CC(C)(C)c(cc1NC(Nc(c2ccccc22)ccc2OCCN2CCOCC2)=O)nn1-c1ccc(C)cc1	binder2762-ACTIVE
[O-][N+](c(c(Cl)c1[N+]([O-])=O)cc(C(F)(F)F)c1Cl)=O	binder2764-ACTIVE
CNC(CCC1c(cc2)cc(Cl)c2Cl)c2c1ccc(S(N)(=O)=O)c2	binder2765-ACTIVE
C(C1C(CC2)CCN2C1)N1c(cccc2)c2Sc2c1cccc2	binder2766-ACTIVE
[O-][N+](C1(COCOC1)Br)=O	binder2769-ACTIVE
CC(OCCN(CCOC(C)=O)c(cc1)ccc1/N=N/c(ccc([N+]([O-])=O)c1)c1C#N)=O	binder2770-ACTIVE
CCN(CC)CCOC(C(c1ccccc1)(c1ccccc1)O)=O	binder2771-ACTIVE
CN(C)CCCN(c1c(CC2)cccc1)c1c2ccc(Cl)c1	binder2772-ACTIVE
CC(C)(C)NCC(c(cc1)cc(OC(c2ccc(C)cc2)=O)c1OC(c1ccc(C)cc1)=O)O	binder2773-ACTIVE
CCn1nc(Cc2ccccc2)cc1C1CCN(CC(CC(C2)N(C)C(C(C)C)C(O)=O)C2c2cccc(F)c2)CC1	binder2777-ACTIVE
N#CC1=C(C#N)SC(C(c(cccc2)c2C2=O)=O)=C2S1	binder2785-ACTIVE
CCC(C)Nc(c([N+]([O-])=O)cc(C(C)(C)C)c1)c1[N+]([O-])=O	binder2786-ACTIVE
O=C(CCN(CC1)CC1c1ccccc1)c(cc1)cc2c1OCCO2	binder2787-ACTIVE
CC(C)c1cc(OC)cc(S(N2COC(N=C3N4C=CC=C3OCCN3CCCCC3)=CC4=O)(=O)=O)c1C2=O	binder2791-ACTIVE
C=CCOC(Cn1cncc1)c(ccc(Cl)c1)c1Cl	binder2792-ACTIVE
N#CCCC(CBr)(C#N)Br	binder2794-ACTIVE
CC(CC(c1c(CC2)cccc1)c1c2cccc1)CN(C)C	binder2796-ACTIVE
CN(CC1)CCN1c1c(/C=C2/SCCN(c(cc3)cc(Cl)c3Cl)C2=O)cccc1	binder2797-ACTIVE
CC(C)(C(CC1)C2=Cc3ccc(C)cc3)C1(C)C2=O	binder2798-ACTIVE
O=C(CN1CCN(Cc(cc2)cc3c2OCO3)CC1)N1c(cccc2)c2Sc2c1cccc2	binder2799-ACTIVE
Cc(cc(cc1)Oc(cc2)c(CN(C)C)cc2S(N)(=O)=O)c1SC	binder2801-ACTIVE
CN(C(CC1)C2)C1CC2OC(c1cc(Cl)cc(Cl)c1)=O	binder2802-ACTIVE
CC(C)(CC1)C(C2)N(C)C1CC2OC(C(c1cccs1)(c1cccs1)O)=O	binder2804-ACTIVE
CCC1(CCC2)C=C(C(OCC)=O)n3c(cccc4)c4c4c3C1N2CC4	binder2806-ACTIVE
CN(C)C(C(CC(C1)O)N1C(c(cc(cc1)Cl)c1N1S(c(ccc(OC)c2)c2OC)(=O)=O)(C1=O)c(cccc1)c1OC)=O	binder2807-ACTIVE
CCc(cc(cc1)SCc2c(CN(CC3)CCN3c(cc3)ccc3OC)nc(-c3ccc(C(F)(F)F)cc3)s2)c1OCC(O)=O	binder2808-ACTIVE
CCC(C(CCN(C)C)(c1ccccc1)c1ccccc1)=O	binder2809-ACTIVE
NC(C1(CCN(CCCN(c2c(CC3)cccc2)c2c3ccc(Cl)c2)CC1)N1CCCCC1)=O	binder2810-ACTIVE
CN(CCc1c2)C(Cc(cc3)cc(Oc4ccc(CC(c5c6O7)N(C)CCc5cc5c6OCO5)cc4)c3OC)c1cc7c2OC	binder2811-ACTIVE
CCC(C)c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1OC(C=C(C)C)=O	binder2812-ACTIVE
Cc(cc1)ccc1/C(/c1ncccc1)=C\CN1CCCC1	binder2813-ACTIVE
C(C1)c(cccc2)c2Nc2c1cccc2	binder2814-ACTIVE
CN(CC1)CCC1N(Cc1ccccc1)c1ccccc1	binder2815-ACTIVE
CC(C)OC(C(C)(C)Oc(cc1)ccc1C(c(cc1)ccc1Cl)=O)=O	binder2816-ACTIVE
CN1C(CCN2c(cc(cc3)SC)c3Sc3c2cccc3)CCCC1	binder2817-ACTIVE
CN(C)CCCN1c(cc(cc2)Cl)c2Sc2c1cccc2	binder2818-ACTIVE
Cc(cc1)ccc1N(CC1=NCCN1)c1cccc(O)c1	binder2819-ACTIVE
CC(C)(C)c1ccc(C(CCCN(CC2)CCC2C(c2ccccc2)(c2ccccc2)O)O)cc1	binder2821-ACTIVE
O=C(C12CCN(CCCOc(cc3)ccc3F)CC2)NCN1c1ccccc1	binder2823-ACTIVE
CC(C(N1C(Cc2ccccc2)C(N2C3CCC2)=O)=O)(NC(C(C2)CN(C)C(Cc4c[nH]5)C2c2c4c5ccc2)=O)OC13O	binder2824-ACTIVE
CC(C)C(CCCN(C)CCc(cc1)cc(OC)c1OC)(c(cc1)cc(OC)c1OC)C#N	binder2826-ACTIVE
CNCCC(c1ccccc1)Oc(cccc1)c1OC	binder2828-ACTIVE
CN(C)C(C(CCN(CC1)CCC1(c(cc1)ccc1Cl)O)(c1ccccc1)c1ccccc1)=O	binder2829-ACTIVE
OCCN1CCN(CC/C=C2/c(cc(C(F)(F)F)cc3)c3Sc3c2cccc3)CC1	binder2830-ACTIVE
CCCNCC(COc(cccc1)c1C(CCc1ccccc1)=O)O	binder2831-ACTIVE
O=C(c(cc(cc1)OCC(F)(F)F)c1OCC(F)(F)F)NCC1NCCCC1	binder2832-ACTIVE
COCCCC/C(/c1ccc(C(F)(F)F)cc1)=N\OCCN	binder2835-ACTIVE
CCCCCCCCNC(C)C(c(cc1)ccc1SC(C)C)O	binder2836-ACTIVE
CCN(CC)CCNC(c(ccc(Cl)c1)c1OCC=C)=O	binder2837-ACTIVE
CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	binder2838-ACTIVE
Clc1c(CN(CC2)Cc3c2scc3)cccc1	binder2839-ACTIVE
N#CC(C#N)=NNc1cccc(Cl)c1	binder2840-ACTIVE
CC(CC1)(C(C2)C3(C)C1C(C)(C)CCC3)OC2=O	binder2842-ACTIVE
CCCN(CCC)C(C(CCC(OCCCN1CCN(CCOC(Cc2c(C)n(C(c(cc3)ccc3Cl)=O)c(cc3)c2cc3OC)=O)CC1)=O)NC(c1ccccc1)=O)=O	binder2843-ACTIVE
COc(cccc1)c1N1CCN(CC(COc2cccc3ccccc23)O)CC1	binder2844-ACTIVE
Nc(cc1)ccc1C(OCCCOC(c(cc1)ccc1N)=O)=O	binder2845-ACTIVE
O=C1N(CCCN(CC2)CCC2N(c(ccc(Cl)c2)c2N2)C2=O)c(cccc2)c2N1	binder2846-ACTIVE
CN(CC1)CCN1C1=Nc(cc(cc2)Cl)c2Nc2c1cccc2	binder2847-ACTIVE
CS(c(ccc(C(CC1CCCC1)C(Nc1nccnc1)=O)c1)c1Cl)(=O)=O	binder2849-ACTIVE
CCCSSC(CCO)=C(C)N(Cc1c(N)nc(C)nc1)C=O	binder2850-ACTIVE
CC(COc1ccccc1)N(CCCl)Cc1ccccc1	binder2851-ACTIVE
OC(c(cc1)ccc1Cl)(c1cncnc1)c(cccc1)c1Cl	binder2855-ACTIVE
O=C1N(CCCN(CC2)CCN2C(c2ccccc2)c2ccccc2)c(cccc2)c2N1	binder2857-ACTIVE
c1cncn1C(c1ccccc1)c(cc1)ccc1-c1ccccc1	binder2858-ACTIVE
Fc1ccc(C2C(COc(cc3)cc4c3OCO4)CNCC2)cc1	binder2859-ACTIVE
CC(C)CC(C)N(c1ccccc1)c(cc1)ccc1N	binder2860-ACTIVE
CCCCCCOC(c(cccc1)c1O)=O	binder2861-ACTIVE
CC(C)(C)NCC(COc1c(cc(C)[nH]2)c2ccc1)OC(c1ccccc1)=O	binder2862-ACTIVE
CCCCCC(OC(CC1)(C(C)(CC2)C1C(CC1)C2C(C)(CC2)C1=CC2=O)C(C)=O)=O	binder2863-ACTIVE
CC(OC1(CCN(CCc2ccccc2)CC1)c1ccccc1)=O	binder2864-ACTIVE
CCN(CC(C)O)c(cc1)nnc1NNC(OCC)=O	binder2865-ACTIVE
CCCCCCCCN(C1=O)SC(Cl)=C1Cl	binder2866-ACTIVE
CC(C)Cc1ccc(C(C)C(OCc2ncccc2)=O)cc1	binder2867-ACTIVE
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	binder2868-ACTIVE
CC(N(CC1)CCN1c(cc1)ccc1OCC1OC(Cn2cncc2)(c(ccc(Cl)c2)c2Cl)OC1)=O	binder2869-ACTIVE
CN(CC12)CC2c(cc(cc2)Cl)c2Oc2c1cccc2	binder2870-ACTIVE
O=C(Nc1ccccc1)N(Cc(cc1)ccc1Cl)C1CCCC1	binder2871-ACTIVE
CCOC(C(C)Oc(cc1)ccc1Oc1nc(ccc(Cl)c2)c2o1)=O	binder2872-ACTIVE
CC(C)(CN1)CNC1=NN=C(/C=C/c1ccc(C(F)(F)F)cc1)/C=C/c1ccc(C(F)(F)F)cc1	binder2873-ACTIVE
CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1	binder2874-ACTIVE
CCCN(CCOc(c(Cl)cc(Cl)c1)c1Cl)C(n1cncc1)=O	binder2875-ACTIVE
OCCOCCN(CC1)CCN1C(c1ccccc1)c(cc1)ccc1Cl	binder2877-ACTIVE
CN(c1c(CN2c(cccc3)c3Br)cnc(Nc(cc3)cc4c3OC(CO)CO4)n1)C2=O	binder2879-ACTIVE
CCCOC/C(/n1cncc1)=N\c(cc1)c(C(F)(F)F)cc1Cl	binder2880-ACTIVE
COc1ccc(CCN(CC2)CCC2Nc2nc(cccc3)c3n2Cc(cc2)ccc2F)cc1	binder2881-ACTIVE
OCCN1CCN(CCCN2c(cc(C(F)(F)F)cc3)c3Sc3c2cccc3)CC1	binder2882-ACTIVE
CC(C)N(C(N(CS1)c2ccccc2)=O)C1=NC(C)(C)C	binder2883-ACTIVE
CCCCOC(C(C)Oc(cc1)ccc1Oc1ncc(C(F)(F)F)cc1)=O	binder2884-ACTIVE
CC(C)(Cc1c[nH]c2c1cccc2)NCC(COc(cccc1)c1C#N)O	binder2887-ACTIVE
Clc1cc(Cl)c(C(Cn2cncc2)OCc(cc2)ccc2Sc2ccccc2)cc1	binder2891-ACTIVE
NCc1cccc(C(CC2)CCN2C(c2ccc(C#Cc(cccc3)c3F)o2)=O)c1	binder2892-ACTIVE
COC(C(CC1C2CC(c3c(CC4)c(ccc(OC)c5)c5[nH]3)N4C1)OC(/C=C/c(cc1)cc(OC)c1O)=O)C2C(OC)=O	binder2893-ACTIVE
c(cc1)ccc1Nc(cc1)ccc1Nc1ccccc1	binder2894-ACTIVE
