COc(cc(cc1)Cl)c1Oc(ccc(Cl)c1)c1Cl	nonbinder1-inactive
CC(CN(CCN(CC(C)O)CC(C)O)CC(C)O)O	nonbinder60-inactive
C=CCN(CC=C)CC=C	nonbinder61-inactive
CC(OCC(COC(C)=O)OC(C)=O)=O	nonbinder62-inactive
CCCCN(CCCC)CCCC	nonbinder63-inactive
CCCCOP(OCCCC)OCCCC	nonbinder64-inactive
[O-][N+](C=Cc1ccccc1)=O	nonbinder65-inactive
CCc1cnc(C(O)=O)c(C(O)=O)c1	nonbinder66-inactive
COc(ccc(Cl)c1)c1C(NCCc(cc1)ccc1S(NC(NC1CCCCC1)=O)(=O)=O)=O	nonbinder67-inactive
C=CCN(C(N(CC=C)C(N1CC=C)=O)=O)C1=O	nonbinder68-inactive
C/C=C(\C(CC(N1)=C2C=CC1=O)C=C(C)C1)/C12N	nonbinder69-inactive
COCCOC(CC#N)=O	nonbinder70-inactive
COc(ccnc1CS(c2nc(cc(cc3)OC(F)F)c3[nH]2)=O)c1OC	nonbinder71-inactive
Cc(cc1)ccc1S(NC(NC1CCCC1)=O)(=O)=O	nonbinder72-inactive
CC(CCC=C(C)C)C=C	nonbinder73-inactive
CCOC(c(cc1)ccc1N(C)C)=O	nonbinder74-inactive
CCCCC(CC)COC(C)=O	nonbinder75-inactive
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O	nonbinder76-inactive
C(c1ccccc1)=C/c1ccccc1	nonbinder77-inactive
C(COCC1)N1SSN1CCOCC1	nonbinder78-inactive
CCOC(C=Cc1ccccc1)=O	nonbinder79-inactive
CC(C)C(OCCc1ccccc1)=O	nonbinder80-inactive
CCCC(OCCc1ccccc1)=O	nonbinder81-inactive
CCC(OCC=Cc1ccccc1)=O	nonbinder82-inactive
CC(Nc1ccc(C)cc1)=O	nonbinder83-inactive
CC(C)c1ccc(CC(C)C=O)cc1	nonbinder84-inactive
O=C(c(c(F)ccc1)c1F)NC(Nc(c(Cl)c1)cc(Cl)c1OC(C(C(F)(F)F)F)(F)F)=O	nonbinder85-inactive
CCOC(C1O)OC(C(COCc2ccccc2)OCc2ccccc2)C1OCc1ccccc1	nonbinder86-inactive
CCOP(OCC)(SC(CCl)N(C(c1c2cccc1)=O)C2=O)=S	nonbinder87-inactive
O=C(c(cc1)ccc1OCCCCc1ccccc1)Nc1cccc2c1OC(c1nnn[nH]1)=CC2=O	nonbinder88-inactive
Oc(c(C(C(c1c2cccc1)=O)C2=O)nc1ccccc11)c1Br	nonbinder89-inactive
NC1(CCC1)c(cc1)ccc1-c(c(-c1ccccc1)c1)nc(C=CN23)c1C3=NNC2=O	nonbinder90-inactive
C#CCN(C(COc1c2)=O)c1cc(N(C(C1=C3CCCC1)=O)C3=O)c2F	nonbinder91-inactive
OCC(C(C(C1O)O)O)OC1OCCc(cc1)ccc1O	nonbinder92-inactive
CCCCCCCCOC(c(cc1O)cc(O)c1O)=O	nonbinder93-inactive
CN(C(CCc(cc1-c(cc2)ccc2Cl)nn1-c(cc1)ccc1OC)=O)O	nonbinder94-inactive
CNS(Cc(cc1)cc2c1[nH]cc2CCN(C)C)(=O)=O	nonbinder95-inactive
OC(CNC(CNC(CNC(CSC(c1ccccc1)=O)=O)=O)=O)=O	nonbinder96-inactive
CC(C)(C(CC1)C2=O)C1(C)C2=O	nonbinder97-inactive
CC(C(N(Cc(cc1OC)c(C2)cc1OC)C2C(O)=O)=O)NC(CCc1ccccc1)C(O)=O	nonbinder98-inactive
CN(c1c(C(N2C)=O)[nH]c(Br)n1)C2=O	nonbinder99-inactive
CC(C)(Cc(cccc1)c1Cl)N	nonbinder100-inactive
CCOC(C(C1c2c(/C=C/C(OC(C)(C)C)=O)cccc2)=C(C)NC(C)=C1C(OCC)=O)=O	nonbinder101-inactive
NC(C(C1=O)=O)=C1NC/C=C/COc1nccc(CN2CCCCC2)c1	nonbinder102-inactive
CNC(c(c(I)c(C(O)=O)c(I)c1NC(CCCCC(Nc(c(I)c(C(NC)=O)c(I)c2C(O)=O)c2I)=O)=O)c1I)=O	nonbinder103-inactive
CC(Nc1ccc(C=NNC(N)=S)cc1)=O	nonbinder104-inactive
O=C=Nc(cc1)ccc1Cl	nonbinder105-inactive
NCC(c(cc1)ccc1O)O	nonbinder106-inactive
Cc(cc1)ccc1S(O)(=O)=O	nonbinder107-inactive
CC(OCc(cc1)ccc1OC)=O	nonbinder108-inactive
CCC(C=Cc(cc1)ccc1OC)=O	nonbinder109-inactive
CCCCNc(cc1)ccc1C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=O	nonbinder110-inactive
NC(c(cc1)ccc1OCCCOc(cc1)ccc1C(N)=N)=N	nonbinder111-inactive
CC=Cc(cc1)ccc1OC	nonbinder112-inactive
O=CCCc1ccccc1	nonbinder113-inactive
OCC=Cc1ccccc1	nonbinder114-inactive
O=CC=Cc1ccccc1	nonbinder115-inactive
OCCNCc1ccccc1	nonbinder116-inactive
C(COc1ccccc1)Oc1ccccc1	nonbinder117-inactive
OC(/C=C/c1c[nH]cn1)=O	nonbinder118-inactive
COc(cc(CC=C)cc1)c1OC(Cc1ccccc1)=O	nonbinder119-inactive
CCC(C1)(Cc2c1cccc2)c1cnc[nH]1	nonbinder120-inactive
CC(C)C1(C)NC(c2ncc(C)cc2C(O)=O)=NC1=O	nonbinder121-inactive
CC(C(CC(OC)=O)C(OC)=O)=O	nonbinder122-inactive
CS(c(cc1)cc([N+]([O-])=O)c1C(C(C(CCC1)=O)C1=O)=O)(=O)=O	nonbinder123-inactive
CC(OCC(CCn1c2nc(N)ncc2nc1)COC(C)=O)=O	nonbinder124-inactive
CC(C)(C1C=C(C)C)C1C(OCc1coc(Cc2ccccc2)c1)=O	nonbinder125-inactive
CCCNC(CC1)Cc2c1nc(N)s2	nonbinder126-inactive
OC(c(cccc1)c1S1)=C(C(CC(C2)c(cc3)ccc3-c(cc3)ccc3Br)c3c2cccc3)C1=O	nonbinder127-inactive
OC(c(nc(c(Cl)c1Cl)Cl)c1Cl)=O	nonbinder128-inactive
CC(C)(C1CC=C(C)CC1)O	nonbinder129-inactive
CCc1ccc(CC)cc1	nonbinder130-inactive
C=Cc1ccc(C=C)cc1	nonbinder131-inactive
OCC1CCC(CO)CC1	nonbinder132-inactive
ON=C(C=C1)C=CC1=NO	nonbinder133-inactive
COc1ccc(CO)cc1	nonbinder134-inactive
CCN(CC)CCOC(C(C)=C)=O	nonbinder135-inactive
CCOC(CC(OCC)=O)=O	nonbinder136-inactive
CCCCOC(/C=C/C(OCCCC)=O)=O	nonbinder137-inactive
CC(C)=CCC/C(/C)=C/COC(C)=O	nonbinder138-inactive
Cc1nnc2n1-c(sc(CCC(N1CCOCC1)=O)c1)c1C(c(cccc1)c1Cl)=NC2	nonbinder139-inactive
O=Cc(c1ccccc11)c(cccc2)c2c1Cl	nonbinder140-inactive
CCc1nc(Cc2ccccc2)c(cc(c(OC)c2)OC)c2c1	nonbinder141-inactive
O=C(C(Cc1ccncc1)(Cc1ccncc1)c1c2cccc1)N2c1ccccc1	nonbinder142-inactive
CC(/C(/C)=N/O)NCC(C)(C)CNC(C)/C(/C)=N/O	nonbinder143-inactive
CC(C)c1cccc(C(C)C)c1N(C(c(cc1)c2cc1O)=O)C2=O	nonbinder144-inactive
CN(C)CCCNCCCN	nonbinder145-inactive
CC(C)C(CC1)CCC1C(NC(Cc1ccccc1)C(O)=O)=O	nonbinder146-inactive
CC(C(OCCOc1ccccc1)=O)=C	nonbinder147-inactive
CC(c1c(C)oc(C)c1)=O	nonbinder148-inactive
CC(C)CCCC(C)CCO	nonbinder149-inactive
CC(CCC=C(C)C)CCO	nonbinder150-inactive
CC(C)=CCC/C(/C)=C/CO	nonbinder151-inactive
CCCC(OCCC(C)C)=O	nonbinder152-inactive
O=C(OCCOCCOC(Cl)=O)Cl	nonbinder153-inactive
C1OC1C1CC2OC2CC1	nonbinder154-inactive
CC(C(OCC1OC1)=O)=C	nonbinder155-inactive
COC(Nc1nc(cccc2)c2[nH]1)=O	nonbinder156-inactive
CN(CC1)CCC1NC(c(cc1)cc(OC)c1Nc(nc1)nc(N(CC2(F)F)C3CCCC3)c1N(C)C2=O)=O	nonbinder157-inactive
NC(c1cn(Cc(c(F)ccc2)c2F)nn1)=O	nonbinder158-inactive
CC(C(C1SC(C2OCCC2)=C(C(O)=O)N11)C1=O)O	nonbinder159-inactive
COc(cc1)c(C2(CC(C3)C4)CC4CC3C2)cc1-c1ccc(cc(cc2)C(O)=O)c2c1	nonbinder160-inactive
CC(C)(C(c(cc1)ccc1OCCO)=O)O	nonbinder162-inactive
Cc(c1c2ccc(F)c1)cn2NC(c1c(C)nc(-c2ncccc2)nc1)=O	nonbinder163-inactive
CCOP(OCC)(OP(OCC)(OCC)=O)=O	nonbinder164-inactive
CCCCOP(O)(OCCCC)=O	nonbinder165-inactive
CC(CCCC(C)(C)O)CC=O	nonbinder166-inactive
CCCCCN(CCCOC)C(C(CCC(O)=O)NC(c(cc1)cc(Cl)c1Cl)=O)=O	nonbinder167-inactive
NNC(CCCCC(NN)=O)=O	nonbinder168-inactive
O=CC(c1ccccc1)=O	nonbinder169-inactive
O=C(CC1(CCCC1)C1)NC1=O	nonbinder170-inactive
CC(C)c(ccc(C)c1)c1OC	nonbinder171-inactive
OC(C(CC1)CCC1C(O)=O)=O	nonbinder172-inactive
OC(CCCCC1SSCC1)=O	nonbinder173-inactive
CC1(C(CC2)C(C(CC(C3(C)CC4)=CC4=O)C(OC)=O)C33OC3C1)C2(CC1)OC1=O	nonbinder174-inactive
Cc(cccc1)c1S(NC(c1cc(OC)c(Cc2cn(C)c(cc3)c2cc3NC(OC2CCCC2)=O)cc1)=O)(=O)=O	nonbinder175-inactive
CC(N(CC(CO)O)c(c(I)c(C(NCCO)=O)c(I)c1C(NCC(CO)O)=O)c1I)=O	nonbinder176-inactive
COc(cc1)cc(CCC2)c1C2=O	nonbinder177-inactive
CC(CC1)(C(CC2)C(CC3=C)C1C(C)(C=C1)C3=CC1=O)C2=O	nonbinder178-inactive
CC(C)CC(CC(C)C)O	nonbinder179-inactive
CC(C)CC(CC(C)C)=O	nonbinder180-inactive
c1csc(-c2ccc(-c3cccs3)s2)c1	nonbinder181-inactive
C/C(/C(O)=O)=N\NC(c1ccncc1)=O	nonbinder182-inactive
CCCCCCOC(c(cc1)ccc1O)=O	nonbinder183-inactive
CC(C1)NCCN1c(cc(c(C(C(C(O)=O)=C1)=O)c2)N1c(ccc(F)c1)c1F)c2F	nonbinder184-inactive
Cc(c(S(N)(=O)=O)c1)cc(CCC2)c1S2(=O)=O	nonbinder185-inactive
CCCCOC(CCCCCCCCC(OCCCC)=O)=O	nonbinder186-inactive
CC(C)n1nc(-c2cc(cc(cc3)O)c3[nH]2)c2c(N)ncnc12	nonbinder187-inactive
CC(c1ncccc1C(O)=O)=NNC(Nc1cc(F)cc(F)c1)=O	nonbinder188-inactive
CC(C)(C(O)=O)OCc1c(C)nc(-c(cc2)ccc2Cl)o1	nonbinder189-inactive
CC(C)(C1CC2CC1)/C2=C/C=C/C(C)=O	nonbinder190-inactive
CC(C)(C)c1cc(C)cc(C(C)(C)C)c1OC(NC)=O	nonbinder191-inactive
CCOP(CN(CCO)CCO)(OCC)=O	nonbinder192-inactive
CC(C)(C)c1cc(C)cc(-n2nc(cc(cc3)Cl)c3n2)c1O	nonbinder193-inactive
CC(C(C(N(C)C)=O)Cl)=O	nonbinder194-inactive
CCC(OC=CC1=O)=C1O	nonbinder195-inactive
CC(C)=CCOC(c1ccccc1)=O	nonbinder196-inactive
CC(C)(CCC(C)(C)O)O	nonbinder197-inactive
CCCCCCCC/C=C/CCCCCCCC(N(C)CC(O)=O)=O	nonbinder198-inactive
C=CC(NCNC(C=C)=O)=O	nonbinder199-inactive
CCCCCCCCCC(C)C=O	nonbinder200-inactive
Cc1nc(Nc2ccccc2)nc(C#CC)c1	nonbinder201-inactive
CCCCCCCCSCc(cc1C)cc(CSCCCCCCCC)c1O	nonbinder202-inactive
CCOC(C(Oc1cccc(OCC(COc2cccc(OC(C(OCC)=O)=C3)c2C3=O)OC(C(CCCCN)N)=O)c11)=CC1=O)=O	nonbinder203-inactive
CC(C1)NC(C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C(O)=O)C1=O)N)c2F	nonbinder204-inactive
O=C(C(CC1)NC1=O)N1CCCCC1	nonbinder205-inactive
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C	nonbinder206-inactive
CCCCCC#CC(OC)=O	nonbinder207-inactive
CN(C)CCCCCCN(C)C	nonbinder208-inactive
CC(OCCOC(C)=O)=O	nonbinder209-inactive
CNC(CSP(OC)(OC)=O)=O	nonbinder210-inactive
CCCCN(CC)C(SCCC)=O	nonbinder211-inactive
CC(c1cc(cccc2)c2s1)N(C(N)=O)O	nonbinder212-inactive
CC(C)(CO)COC(C(C)(C)CO)=O	nonbinder213-inactive
CCCCCCC(CO)O	nonbinder214-inactive
CC(C)(CCCC(C=C)=C)OC(C)=O	nonbinder215-inactive
CC(C)(C)C(CC(C(C)(C)C)=O)=O	nonbinder216-inactive
CCCCCCCC(N(C)C)=O	nonbinder217-inactive
CC(C)(C)OC(c1ccc(CON=Cc(c(C)nn2C)c2Oc2ccccc2)cc1)=O	nonbinder218-inactive
N#C/N=C1/SCCN1Cc(cc1)cnc1Cl	nonbinder220-inactive
NCCNCCNCCN	nonbinder221-inactive
ClCCOCCOCCCl	nonbinder222-inactive
CCCCCCCCCCC(O)=O	nonbinder223-inactive
C=CCCCCCCCCC=O	nonbinder224-inactive
CCCCOCCOCCSC#N	nonbinder225-inactive
CCCCCCCCCCC	nonbinder227-inactive
CC(C)(C)N(C(c1ccccc1)=O)NC(c(cc1)ccc1Cl)=O	nonbinder228-inactive
FC(C(OCC(Cn1ncnc1)c(ccc(Cl)c1)c1Cl)(F)F)F	nonbinder229-inactive
CC(CO)c1ccccc1	nonbinder230-inactive
CN(CC1C2)C2CN1c(cc(c1c2)N(C3CC3)C=C(C(O)=O)C1=O)c2F	nonbinder231-inactive
Cc(c(C)c1)cc(O)c1Cl	nonbinder232-inactive
Cc1c(C)nc(C)c(C)n1	nonbinder233-inactive
[O-][N+](c(cc1)cc[n+]1[O-])=O	nonbinder234-inactive
OCCCC1CCCCC1	nonbinder235-inactive
CCc(cc1)ccc1C(NN(C(C)(C)C)C(c1cc(C)cc(C)c1)=O)=O	nonbinder236-inactive
CC(C)(CC(C=C1C)=O)C1=O	nonbinder237-inactive
CC(C(C(C)=C1C(CCCCCC(O)=O)c2ccccc2)=O)=C(C)C1=O	nonbinder238-inactive
OC(CN(c(cc(cc1)Cl)c1C(N1Cc(ccc(Br)c2)c2F)=O)C1=O)=O	nonbinder239-inactive
N#Cc1ccc(C(c(cc2)ccc2C#N)n2ncnc2)cc1	nonbinder240-inactive
CC(N1)=Nc(ccc(CN(C)c2ccc(C(NC(CCC(O)=O)C(O)=O)=O)s2)c2)c2C1=O	nonbinder242-inactive
CC(C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1O)O)/C1=C)/C=C/C(C1CC1)O	nonbinder243-inactive
CC(N1c(cc2N3CCNCC3)c3cc2F)SC1=C(C(O)=O)C3=O	nonbinder244-inactive
CCC(CO)NC(C(CN(C)C1Cc2c[nH]3)C=C1c1c2c3ccc1)=O	nonbinder245-inactive
Cc(cc1N)nn1-c1ccccc1	nonbinder246-inactive
OC(C1(CC1)C(Nc(ccc(Cl)c1)c1Cl)=O)=O	nonbinder247-inactive
OS(CCCN1CCOCC1)(=O)=O	nonbinder248-inactive
CCN(C1CCCCC1)C(SCC)=O	nonbinder249-inactive
NCC(CC(O)=O)c(cc1)ccc1Cl	nonbinder250-inactive
CC1(C)C2=CCCC(C)(C)C22CC1CC2	nonbinder251-inactive
Oc(cc1)ccc1C(c1ccccc1)=O	nonbinder252-inactive
CC(Cc(cc1)ccc1OCC(O)=O)NCC(c1csc(C(F)(F)F)n1)O	nonbinder253-inactive
CC1(CCC2C(C)(C)CC22)OC1CCC2=C	nonbinder254-inactive
CC(C)Oc(cccc1)c1OC(NC)=O	nonbinder256-inactive
OC(c1ccc(cc(cc2)C(O)=O)c2c1)=O	nonbinder257-inactive
Oc(cccc1Cc2cccc(O)c22)c1C2=O	nonbinder258-inactive
Oc(ccc(C(c1ccccc1)=O)c1O)c1O	nonbinder259-inactive
O=C(C1c(cc2)ccc2Br)c(cccc2)c2C1=O	nonbinder260-inactive
OC(C(Nc1cc(-c2nnn[nH]2)ccc1)=O)=O	nonbinder261-inactive
C=COCC1CCC(CO)CC1	nonbinder262-inactive
Cc(cc1)ccc1-c(cccc1)c1C#N	nonbinder263-inactive
CC(C1)C(c(cc2)ccc2NCC(C)(C)NCC(COc(cc(cc2)Cl)c2C#N)O)=NNC1=O	nonbinder265-inactive
CC(C)(C)OC(NC(C(C(OC(C1)C(C)=C(C(C(C(C)(C(CC2OC3)O)C(C4OC(c5ccccc5)=O)C23OC(C)=O)=O)O)C(C)(C)C14O)=O)O)c1ccccc1)=O	nonbinder266-inactive
NC(COC(C=[N+]=[N-])=O)C(O)=O	nonbinder267-inactive
CCS(C(C)(C)S(CC)(=O)=O)(=O)=O	nonbinder268-inactive
O=C(C(C1C(C2(Cl)Cl)(C(Cl)=C3Cl)Cl)C23Cl)OC1=O	nonbinder269-inactive
OC(C(C(C(C1(Cl)Cl)(C(Cl)=C2Cl)Cl)C(O)=O)C12Cl)=O	nonbinder270-inactive
CC(Oc1ccc(C(c(cccc2)c2N2)(C2=O)c(cc2)ccc2OC(C)=O)cc1)=O	nonbinder271-inactive
Oc(c(Br)cc(C(c1c2cccc1)(c(cc1Br)cc(Br)c1O)OS2(=O)=O)c1)c1Br	nonbinder272-inactive
CCC(C)C(CC=C)(C(NC(N1)=O)=O)C1=O	nonbinder273-inactive
CCCCC(CC)(CO)CO	nonbinder274-inactive
CCOP(OCC)(Oc(cc1)ccc1S(C)=O)=S	nonbinder275-inactive
COP(OC)(Oc(cc1)ccc1S(N)(=O)=O)=S	nonbinder276-inactive
O=P(OCCCl)(OCCCl)OCCCl	nonbinder277-inactive
OC(CC(C(O)=O)NC(OCc1ccccc1)=O)=O	nonbinder278-inactive
CC(C1)C(c(cc2)ccc2/N=C(\NC)/NC#N)=NNC1=O	nonbinder279-inactive
Oc(c(C(Nc(cc1)cc(Cl)c1Cl)=O)cc(Cl)c1)c1Cl	nonbinder280-inactive
CC(C1)CC(C)(C)CC1O	nonbinder281-inactive
CC(C)(C=NOC(NC)=O)SC	nonbinder282-inactive
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	nonbinder283-inactive
CC(C)OP(OC(C)C)OC(C)C	nonbinder284-inactive
CC(C)(C(N1)=O)N(CO)C1=O	nonbinder285-inactive
CC1(C)C(C=O)=C(C)C=CC1	nonbinder286-inactive
O=S(c(cc1)ccc1Cl)(c(c(Cl)c1)cc(Cl)c1Cl)=O	nonbinder287-inactive
OC(CCC(Nc(cc1)ccc1S(Nc1nccs1)(=O)=O)=O)=O	nonbinder288-inactive
OC(C(Cl)(Cl)Cl)NC(NC(C(Cl)(Cl)Cl)O)=O	nonbinder289-inactive
Nc(c(S(O)(=O)=O)cc(Br)c1C(c2c3cccc2)=O)c1C3=O	nonbinder290-inactive
CC(CN1CCCC1)C(c1ccc(C(F)(F)F)cc1)=O	nonbinder291-inactive
Brc(c(Oc(c(Br)c(c(Br)c1Br)Br)c1Br)c(c(Br)c1Br)Br)c1Br	nonbinder292-inactive
CC(NC(C)=C(C1c2cccc([N+]([O-])=O)c2)C(OCCc(cc2)ccc2N(CC2)CCN2C(c2ccccc2)c2ccccc2)=O)=C1C(OC)=O	nonbinder293-inactive
CN(C)CCCSc(cccc1)c1NC(/C=C/c1ccccc1)=O	nonbinder294-inactive
OC(CCn1c(cccc2)c2c(C2)c1CCC2NS(c(cc1)ccc1F)(=O)=O)=O	nonbinder295-inactive
O=C(c(c1c(c(Cl)c2Cl)Cl)c2Cl)OC1=O	nonbinder296-inactive
[O-][N+](c(c(Cl)c(cc1Cl)Cl)c1Cl)=O	nonbinder297-inactive
Oc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2O)c1C2=O	nonbinder298-inactive
CCCCC(CC)COC(c(cccc1)c1C(OCC(CC)CCCC)=O)=O	nonbinder299-inactive
CCCCCCCCOC(c(cccc1)c1C(OCCCCCCCC)=O)=O	nonbinder300-inactive
CC(Nc(c(I)c(c(I)c1C(O)=O)NC(C)=O)c1I)=O	nonbinder301-inactive
CO/C=C(\C(OC)=O)/c1c(COc2cccc(C(F)(F)F)n2)cccc1	nonbinder302-inactive
CCOC(c(cccc1)c1C(c(cc1Br)cc(Br)c1O)=C(C=C(C1=O)Br)C=C1Br)=O	nonbinder303-inactive
CC(C)Cc1c(C(OC)=O)c(C(F)F)nc(C(F)(F)F)c1C1=NCCS1	nonbinder304-inactive
OCN(C(c1c2cccc1)=O)C2=O	nonbinder305-inactive
O=C(c(cccc1)c1N1)OC1=O	nonbinder306-inactive
Oc(cccc1)c1C(Oc1ccccc1)=O	nonbinder307-inactive
CC(C1)CC(C)(C)CC1OC(c(cccc1)c1O)=O	nonbinder308-inactive
Clc(c(Cl)c(c(Cl)c1Cl)Cl)c1Cl	nonbinder309-inactive
O=C(C(Cl)=C(C1=O)Cl)C(Cl)=C1Cl	nonbinder310-inactive
Oc(c(Br)cc(Br)c1)c1Br	nonbinder311-inactive
CC(C)(C)c1cc(Cc(cc2C(C)(C)C)cc(C(C)(C)C)c2O)cc(C(C)(C)C)c1O	nonbinder312-inactive
Nc(cccc1)c1C(O)=O	nonbinder313-inactive
CC(C)(C1C2)OC(CC(OC3)=O)C13C(CCC(C)(C(c1cocc1)O1)C34OC4C1=O)C3(C)C2=O	nonbinder314-inactive
CC(CC1O)(C(CC2)C(CC3)C1C(C)(C=C1)C3=CC1=O)C2(C(COC(/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)=O)=O)O	nonbinder315-inactive
N#CC(C#N)=Cc(cc1)cc(O)c1O	nonbinder317-inactive
CC(C(OCC(N(C)C)=O)=O)c(cc1)cc(C2)c1Oc1c2ccc(C)n1	nonbinder318-inactive
CCN(CC)C(N(CC)CC)=O	nonbinder319-inactive
CC(C)CC(C(O)=O)NC(C)=O	nonbinder320-inactive
CC(NC(CCC(O)=O)C(O)=O)=O	nonbinder321-inactive
CC(CCOC(C(C)=C)=O)OC(C(C)=C)=O	nonbinder322-inactive
Cc(cc1)cc([N+]([O-])=O)c1OC	nonbinder323-inactive
COc(ccc([N+]([O-])=O)c1)c1[N+]([O-])=O	nonbinder324-inactive
COC(c(cccc1)c1O)=O	nonbinder325-inactive
O=C1NN=Cc2c1cccc2	nonbinder326-inactive
Oc1cc(S(O)(=O)=O)cc2cc(Nc3ccccc3)ccc12	nonbinder327-inactive
CCCCN(CCN(CCCC)C(N1CCOCC1)=O)C(N1CCOCC1)=O	nonbinder328-inactive
OC(C(c1ccccc1)=O)c1ccccc1	nonbinder329-inactive
C(CC1)Cc2c1cccc2	nonbinder330-inactive
c1ccc(cncc2)c2c1	nonbinder331-inactive
O=C(CC1)Oc2c1cccc2	nonbinder332-inactive
